properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "Dungeon1",
  floor = 0,
  tileset = "dungeon/blue",
  music = "light_world_dungeon",
}

tile{
  layer = 0,
  x = 16,
  y = 0,
  enabled_at_start = false,
  width = 288,
  height = 24,
  pattern = "wall.2-5",
}

tile{
  layer = 0,
  x = 296,
  y = 16,
  width = 24,
  height = 208,
  pattern = "wall.3-5",
}

tile{
  layer = 0,
  x = 16,
  y = 216,
  width = 288,
  height = 24,
  pattern = "wall.1-5",
}

tile{
  layer = 0,
  x = 0,
  y = 16,
  width = 24,
  height = 208,
  pattern = "wall.4-5",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 192,
  height = 112,
  pattern = "floor.17-2",
}

tile{
  layer = 0,
  x = 248,
  y = 72,
  width = 8,
  height = 96,
  pattern = "wall_low_border.4-5",
}

tile{
  layer = 0,
  x = 72,
  y = 64,
  width = 176,
  height = 8,
  pattern = "wall_low_border.1-5",
}

tile{
  layer = 0,
  x = 64,
  y = 72,
  width = 8,
  height = 96,
  pattern = "wall_low_border.3-5",
}

tile{
  layer = 0,
  x = 72,
  y = 168,
  width = 176,
  height = 8,
  pattern = "wall_low_border.2-5",
}

tile{
  layer = 0,
  x = 248,
  y = 168,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-5",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-5",
}

tile{
  layer = 0,
  x = 248,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-5",
}

tile{
  layer = 0,
  x = 64,
  y = 176,
  width = 192,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 256,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = 0,
  x = 64,
  y = 40,
  width = 192,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = 0,
  x = 256,
  y = 64,
  width = 24,
  height = 112,
  pattern = "wall_low.4-1",
}

tile{
  layer = 0,
  x = 40,
  y = 64,
  width = 24,
  height = 112,
  pattern = "wall_low.3-1",
}

tile{
  layer = 0,
  x = 256,
  y = 176,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = 0,
  x = 40,
  y = 176,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-4",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 152,
  y = 112,
  enabled_at_start = false,
  width = 16,
  height = 16,
  pattern = "floor_water_drain",
}

tile{
  layer = 0,
  x = 256,
  y = 128,
  width = 16,
  height = 8,
  pattern = "door.4.support.2-1",
}

tile{
  layer = 0,
  x = 256,
  y = 104,
  width = 16,
  height = 8,
  pattern = "door.4.support.1-1",
}

tile{
  layer = 0,
  x = 256,
  y = 112,
  width = 16,
  height = 16,
  pattern = "door.4",
}

tile{
  layer = 0,
  x = 272,
  y = 112,
  width = 16,
  height = 16,
  pattern = "865",
}

tile{
  layer = 0,
  x = 48,
  y = 112,
  width = 8,
  height = 16,
  pattern = "waterfall.3.middle",
}

tile{
  layer = 0,
  x = 40,
  y = 160,
  width = 8,
  height = 16,
  pattern = "waterfall.3.bottom",
}

dynamic_tile{
  name = "watertofill_7",
  layer = 0,
  x = 72,
  y = 64,
  enabled_at_start = false,
  width = 176,
  height = 112,
  pattern = "water.transparent",
}

destination{
  name = "DroiteBigBassin",
  layer = 0,
  x = 264,
  y = 125,
  direction = 2,
}

teletransporter{
  name = "VersWestBassin",
  layer = 0,
  x = 272,
  y = 112,
  width = 16,
  height = 16,
  destination_map = "Dungeon1/F1_Fighters",
  destination = "Westafterbigbassin",
}

dynamic_tile{
  name = "watertofill_1",
  layer = 0,
  x = 152,
  y = 112,
  enabled_at_start = false,
  width = 16,
  height = 16,
  pattern = "water.transparent",
}

dynamic_tile{
  name = "watertofill_2",
  layer = 0,
  x = 152,
  y = 96,
  enabled_at_start = false,
  width = 16,
  height = 48,
  pattern = "water.transparent",
}

dynamic_tile{
  name = "watertofill_3",
  layer = 0,
  x = 136,
  y = 80,
  enabled_at_start = false,
  width = 48,
  height = 80,
  pattern = "water.transparent",
}

dynamic_tile{
  name = "watertofill_4",
  layer = 0,
  x = 120,
  y = 64,
  enabled_at_start = false,
  width = 80,
  height = 112,
  pattern = "water.transparent",
}

dynamic_tile{
  name = "watertofill_5",
  layer = 0,
  x = 104,
  y = 64,
  enabled_at_start = false,
  width = 112,
  height = 112,
  pattern = "water.transparent",
}

dynamic_tile{
  name = "watertofill_6",
  layer = 0,
  x = 88,
  y = 64,
  enabled_at_start = false,
  width = 144,
  height = 112,
  pattern = "water.transparent",
}

sensor{
  name = "watertofill_Capt",
  layer = 0,
  x = 80,
  y = 85,
  width = 176,
  height = 96,
}

door{
  name = "trap_BigBassin",
  layer = 0,
  x = 256,
  y = 112,
  enabled_at_start = false,
  direction = 0,
  sprite = "doors/door_d1_normal",
}

tile{
  layer = 1,
  x = 40,
  y = 16,
  enabled_at_start = false,
  width = 240,
  height = 24,
  pattern = "wall.1-5",
}

tile{
  layer = 1,
  x = 40,
  y = 200,
  enabled_at_start = false,
  width = 240,
  height = 24,
  pattern = "wall.2-5",
}

tile{
  layer = 1,
  x = 16,
  y = 40,
  enabled_at_start = false,
  width = 24,
  height = 160,
  pattern = "wall.3-5",
}

tile{
  layer = 1,
  x = 16,
  y = 200,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-5",
}

tile{
  layer = 1,
  x = 280,
  y = 200,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-5",
}

tile{
  layer = 1,
  x = 280,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-5",
}

tile{
  layer = 1,
  x = 16,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-5",
}

tile{
  layer = 1,
  x = 272,
